family,genus,Species_cleaned,begin_combined,end_combined,early_month,early_date,early_day,late_month,late_date,late_day
Aeshnidae,Aeshna,Aeshna umbrosa,2022-08-03,2022-12-27,August,215,3,December,361,27
Coenagrionidae,Amphiagrion,Amphiagrion saucium,2022-04-13,2022-07-09,April,103,13,July,190,9
Aeshnidae,Anax,Anax junius,2022-01-28,2022-12-31,January,28,28,December,365,31
Aeshnidae,Anax,Anax longipes,2022-03-21,2022-10-15,March,80,21,October,288,15
Gomphidae,Aphylla,Aphylla williamsoni,2022-04-11,2022-10-08,April,101,11,October,281,8
Lestidae,Archilestes,Archilestes grandis,2022-07-14,2022-09-25,July,195,14,September,268,25
Coenagrionidae,Argia,Argia apicalis,2022-04-04,2022-11-01,April,94,4,November,305,1
Coenagrionidae,Argia,Argia bipunctulata,2022-04-27,2022-10-08,April,117,27,October,281,8
Coenagrionidae,Argia,Argia fumipennis,2022-03-19,2022-11-04,March,78,19,November,308,4
Coenagrionidae,Argia,Argia moesta,2022-04-01,2022-11-09,April,91,1,November,313,9
Coenagrionidae,Argia,Argia sedula,2022-04-13,2022-11-20,April,103,13,November,324,20
Coenagrionidae,Argia,Argia tibialis,2022-03-11,2022-10-14,March,70,11,October,287,14
Coenagrionidae,Argia,Argia translata,2022-06-03,2022-11-10,June,154,3,November,314,10
Gomphidae,Arigomphus,Arigomphus pallidus,2022-03-31,2022-07-24,March,90,31,July,205,24
Gomphidae,Arigomphus,Arigomphus villosipes,2022-05-23,2022-07-05,May,143,23,July,186,5
Aeshnidae,Basiaeschna,Basiaeschna janata,2022-03-20,2022-05-25,March,79,20,May,145,25
Aeshnidae,Boyeria,Boyeria grafiana,2022-05-27,2022-09-25,May,147,27,September,268,25
Aeshnidae,Boyeria,Boyeria vinosa,2022-05-28,2022-11-23,May,148,28,November,327,23
Libellulidae,Brachymesia,Brachymesia furcata,2022-07-01,2022-09-16,July,182,1,September,259,16
Libellulidae,Brachymesia,Brachymesia gravida,2022-04-22,2022-11-11,April,112,22,November,315,11
Calopterygidae,Calopteryx,Calopteryx amata,2022-05-20,2022-06-15,May,140,20,June,166,15
Calopterygidae,Calopteryx,Calopteryx angustipennis,2022-04-17,2022-06-30,April,107,17,June,181,30
Calopterygidae,Calopteryx,Calopteryx dimidiata,2022-03-22,2022-10-15,March,81,22,October,288,15
Calopterygidae,Calopteryx,Calopteryx maculata,2022-02-09,2022-10-22,February,40,9,October,295,22
Libellulidae,Celithemis,Celithemis amanda,2022-06-01,2022-10-04,June,152,1,October,277,4
Libellulidae,Celithemis,Celithemis bertha,2022-04-22,2022-10-28,April,112,22,October,301,28
Libellulidae,Celithemis,Celithemis elisa,2022-03-09,2022-11-21,March,68,9,November,325,21
Libellulidae,Celithemis,Celithemis eponina,2022-03-13,2022-11-28,March,72,13,November,332,28
Libellulidae,Celithemis,Celithemis fasciata,2022-03-27,2022-11-05,March,86,27,November,309,5
Libellulidae,Celithemis,Celithemis ornata,2022-03-13,2022-11-05,March,72,13,November,309,5
Libellulidae,Celithemis,Celithemis verna,2022-04-08,2022-06-23,April,98,8,June,174,23
Coenagrionidae,Chromagrion,Chromagrion conditum,2022-04-28,2022-06-30,April,118,28,June,181,30
Cordulegastridae,Cordulegaster,Cordulegaster bilineata,2022-03-15,2022-07-08,March,74,15,July,189,8
Cordulegastridae,Cordulegaster,Cordulegaster erronea,2022-06-01,2022-09-03,June,152,1,September,246,3
Cordulegastridae,Cordulegaster,Cordulegaster maculata,2022-03-11,2022-06-27,March,70,11,June,178,27
Cordulegastridae,Cordulegaster,Cordulegaster obliqua,2022-05-06,2022-08-17,May,126,6,August,229,17
Cordulegastridae,Cordulegaster,Cordulegaster sayi,2022-03-08,2022-04-27,March,67,8,April,117,27
Aeshnidae,Coryphaeschna,Coryphaeschna ingens,2022-04-06,2022-10-06,April,96,6,October,279,6
Corduliidae,Didymops,Didymops transversa,2022-02-24,2022-06-30,February,55,24,June,181,30
Gomphidae,Dromogomphus,Dromogomphus armatus,2022-06-25,2022-09-02,June,176,25,September,245,2
Gomphidae,Dromogomphus,Dromogomphus spinosus,2022-05-02,2022-09-30,May,122,2,September,273,30
Gomphidae,Dromogomphus,Dromogomphus spoliatus,2022-05-24,2022-10-02,May,144,24,October,275,2
Libellulidae,Dythemis,Dythemis velox,2022-05-12,2022-10-22,May,132,12,October,295,22
Coenagrionidae,Enallagma,Enallagma aspersum,2022-04-03,2022-10-20,April,93,3,October,293,20
Coenagrionidae,Enallagma,Enallagma basidens,2022-04-08,2022-10-23,April,98,8,October,296,23
Coenagrionidae,Enallagma,Enallagma cardenium,2022-03-25,2022-11-20,March,84,25,November,324,20
Coenagrionidae,Enallagma,Enallagma civile,2022-03-09,2022-12-16,March,68,9,December,350,16
Coenagrionidae,Enallagma,Enallagma concisum,2022-03-13,2022-11-06,March,72,13,November,310,6
Coenagrionidae,Enallagma,Enallagma daeckii,2022-04-13,2022-06-26,April,103,13,June,177,26
Coenagrionidae,Enallagma,Enallagma davisi,2022-03-14,2022-05-12,March,73,14,May,132,12
Coenagrionidae,Enallagma,Enallagma divagans,2022-01-13,2022-09-18,January,13,13,September,261,18
Coenagrionidae,Enallagma,Enallagma doubledayi,2022-03-06,2022-11-25,March,65,6,November,329,25
Coenagrionidae,Enallagma,Enallagma dubium,2022-03-13,2022-09-28,March,72,13,September,271,28
Coenagrionidae,Enallagma,Enallagma durum,2022-07-21,2022-11-21,July,202,21,November,325,21
Coenagrionidae,Enallagma,Enallagma exsulans,2022-04-09,2022-09-20,April,99,9,September,263,20
Coenagrionidae,Enallagma,Enallagma geminatum,2022-03-17,2022-11-25,March,76,17,November,329,25
Coenagrionidae,Enallagma,Enallagma pallidum,2022-04-18,2022-08-30,April,108,18,August,242,30
Coenagrionidae,Enallagma,Enallagma pollutum,2022-04-15,2022-04-16,April,105,15,April,106,16
Coenagrionidae,Enallagma,Enallagma signatum,2022-03-13,2022-11-25,March,72,13,November,329,25
Coenagrionidae,Enallagma,Enallagma traviatum,2022-04-26,2022-07-25,April,116,26,July,206,25
Coenagrionidae,Enallagma,Enallagma vesperum,2022-03-29,2022-11-09,March,88,29,November,313,9
Coenagrionidae,Enallagma,Enallagma weewa,2022-05-12,2022-11-04,May,132,12,November,308,4
Aeshnidae,Epiaeschna,Epiaeschna heros,2022-03-02,2022-11-10,March,61,2,November,314,10
Corduliidae,Epitheca,Epitheca costalis,2022-03-13,2022-06-20,March,72,13,June,171,20
Corduliidae,Epitheca,Epitheca cynosura,2022-03-03,2022-07-04,March,62,3,July,185,4
Corduliidae,Epitheca,Epitheca princeps,2022-04-13,2022-09-24,April,103,13,September,267,24
Corduliidae,Epitheca,Epitheca semiaquea,2022-03-11,2022-04-28,March,70,11,April,118,28
Gomphidae,Erpetogomphus,Erpetogomphus designatus,2022-05-17,2022-10-27,May,137,17,October,300,27
Libellulidae,Erythemis,Erythemis simplicicollis,2022-03-03,2022-11-21,March,62,3,November,325,21
Libellulidae,Erythrodiplax,Erythrodiplax berenice,2022-03-27,2022-10-13,March,86,27,October,286,13
Libellulidae,Erythrodiplax,Erythrodiplax minuscula,2022-03-06,2022-12-14,March,65,6,December,348,14
Aeshnidae,Gomphaeschna,Gomphaeschna antilope,2022-03-20,2022-06-16,March,79,20,June,167,16
Aeshnidae,Gomphaeschna,Gomphaeschna furcillata,2022-03-10,2022-05-18,March,69,10,May,138,18
Gomphidae,Gomphurus,Gomphurus hybridus,2022-03-22,2022-05-24,March,81,22,May,144,24
Gomphidae,Gomphurus,Gomphurus lineatifrons,2022-05-14,2022-07-16,May,134,14,July,197,16
Gomphidae,Gomphurus,Gomphurus vastus,2022-04-11,2022-06-30,April,101,11,June,181,30
Gomphidae,Gomphus,Gomphus dilatatus,2022-03-23,2022-08-04,March,82,23,August,216,4
Aeshnidae,Gynacantha,Gynacantha nervosa,2022-03-05,2022-12-26,March,64,5,December,360,26
Gomphidae,Hagenius,Hagenius brevistylus,2022-05-08,2022-12-23,May,128,8,December,357,23
Corduliidae,Helocordulia,Helocordulia selysii,2022-03-05,2022-05-01,March,64,5,May,121,1
Corduliidae,Helocordulia,Helocordulia uhleri,2022-03-21,2022-05-25,March,80,21,May,145,25
Calopterygidae,Hetaerina,Hetaerina americana,2022-04-13,2022-11-11,April,103,13,November,315,11
Calopterygidae,Hetaerina,Hetaerina titia,2022-05-10,2022-11-16,May,130,10,November,320,16
Gomphidae,Hylogomphus,Hylogomphus adelphus,2022-06-09,2022-06-09,June,160,9,June,160,9
Gomphidae,Hylogomphus,Hylogomphus apomyius,2022-03-29,2022-09-01,March,88,29,September,244,1
Gomphidae,Hylogomphus,Hylogomphus geminatus,2022-05-26,2022-05-31,May,146,26,May,151,31
Gomphidae,Hylogomphus,Hylogomphus parvidens,2022-04-21,2022-06-29,April,111,21,June,180,29
Gomphidae,Hylogomphus,Hylogomphus viridifrons,2022-05-10,2022-06-15,May,130,10,June,166,15
Coenagrionidae,Ischnura,Ischnura hastata,2022-02-09,2022-12-31,February,40,9,December,365,31
Coenagrionidae,Ischnura,Ischnura kellicotti,2022-03-02,2022-11-06,March,61,2,November,310,6
Coenagrionidae,Ischnura,Ischnura posita,2022-01-01,2022-12-31,January,1,1,December,365,31
Coenagrionidae,Ischnura,Ischnura prognata,2022-02-27,2022-11-27,February,58,27,November,331,27
Coenagrionidae,Ischnura,Ischnura ramburii,2022-01-01,2022-12-22,January,1,1,December,356,22
Coenagrionidae,Ischnura,Ischnura verticalis,2022-04-17,2022-10-11,April,107,17,October,284,11
Libellulidae,Libellula,Ladona deplanata,2022-02-09,2022-06-29,February,40,9,June,180,29
Gomphidae,Lanthus,Lanthus vernalis,2022-04-23,2022-05-31,April,113,23,May,151,31
Lestidae,Lestes,Lestes australis,2022-02-24,2022-11-20,February,55,24,November,324,20
Lestidae,Lestes,Lestes congener,2022-09-07,2022-10-14,September,250,7,October,287,14
Lestidae,Lestes,Lestes eurinus,2022-05-14,2022-06-13,May,134,14,June,164,13
Lestidae,Lestes,Lestes forcipatus,2022-04-29,2022-09-07,April,119,29,September,250,7
Lestidae,Lestes,Lestes inaequalis,2022-04-11,2022-09-02,April,101,11,September,245,2
Lestidae,Lestes,Lestes rectangularis,2022-04-15,2022-11-15,April,105,15,November,319,15
Lestidae,Lestes,Lestes vidua,2022-02-01,2022-11-20,February,32,1,November,324,20
Lestidae,Lestes,Lestes vigilax,2022-04-04,2022-11-17,April,94,4,November,321,17
Libellulidae,Libellula,Libellula auripennis,2022-04-12,2022-10-23,April,102,12,October,296,23
Libellulidae,Libellula,Libellula axilena,2022-04-13,2022-09-04,April,103,13,September,247,4
Libellulidae,Libellula,Libellula cyanea,2022-04-10,2022-09-02,April,100,10,September,245,2
Libellulidae,Libellula,Libellula flavida,2022-04-10,2022-10-18,April,100,10,October,291,18
Libellulidae,Libellula,Libellula incesta,2022-05-02,2022-11-07,May,122,2,November,311,7
Libellulidae,Libellula,Libellula luctuosa,2022-04-30,2022-11-02,April,120,30,November,306,2
Libellulidae,Libellula,Libellula needhami,2022-03-22,2022-08-23,March,81,22,August,235,23
Libellulidae,Libellula,Libellula pulchella,2022-04-24,2022-10-27,April,114,24,October,300,27
Libellulidae,Libellula,Libellula semifasciata,2022-03-09,2022-11-01,March,68,9,November,305,1
Libellulidae,Libellula,Libellula vibrans,2022-04-08,2022-10-11,April,98,8,October,284,11
Libellulidae,Macrodiplax,Macrodiplax balteata,2022-06-29,2022-10-11,June,180,29,October,284,11
Corduliidae,Macromia,Macromia alleghaniensis,2022-06-15,2022-06-30,June,166,15,June,181,30
Corduliidae,Macromia,Macromia illinoiensis,2022-05-07,2022-10-19,May,127,7,October,292,19
Corduliidae,Macromia,Macromia margarita,2022-05-31,2022-06-30,May,151,31,June,181,30
Corduliidae,Macromia,Macromia taeniolata,2022-05-10,2022-09-21,May,130,10,September,264,21
Libellulidae,Miathyria,Miathyria marcella,2022-04-22,2022-11-16,April,112,22,November,320,16
Libellulidae,Nannothemis,Nannothemis bella,2022-04-21,2022-05-19,April,111,21,May,139,19
Aeshnidae,Nasiaeschna,Nasiaeschna pentacantha,2022-03-30,2022-08-14,March,89,30,August,226,14
Coenagrionidae,Nehalennia,Nehalennia gracilis,2022-05-08,2022-07-22,May,128,8,July,203,22
Coenagrionidae,Nehalennia,Nehalennia integricollis,2022-04-02,2022-09-28,April,92,2,September,271,28
Corduliidae,Neurocordulia,Neurocordulia molesta,2022-03-29,2022-06-09,March,88,29,June,160,9
Corduliidae,Neurocordulia,Neurocordulia obsoleta,2022-04-01,2022-05-18,April,91,1,May,138,18
Corduliidae,Neurocordulia,Neurocordulia virginiensis,2022-03-23,2022-06-29,March,82,23,June,180,29
Gomphidae,Ophiogomphus,Ophiogomphus australis,2022-03-31,2022-04-06,March,90,31,April,96,6
Gomphidae,Ophiogomphus,Ophiogomphus edmundo,2022-04-07,2022-06-29,April,97,7,June,180,29
Gomphidae,Ophiogomphus,Ophiogomphus howei,2022-05-04,2022-05-08,May,124,4,May,128,8
Gomphidae,Ophiogomphus,Ophiogomphus incurvatus,2022-04-17,2022-11-17,April,107,17,November,321,17
Libellulidae,Orthemis,Orthemis ferruginea,2022-01-01,2022-12-31,January,1,1,December,365,31
Libellulidae,Pachydiplax,Pachydiplax longipennis,2022-03-03,2022-11-20,March,62,3,November,324,20
Libellulidae,Pantala,Pantala flavescens,2022-01-01,2022-12-31,January,1,1,December,365,31
Libellulidae,Pantala,Pantala hymenaea,2022-04-21,2022-10-12,April,111,21,October,285,12
Libellulidae,Perithemis,Perithemis tenera,2022-04-01,2022-11-06,April,91,1,November,310,6
Gomphidae,Phanogomphus,Phanogomphus australis,2022-03-19,2022-05-17,March,78,19,May,137,17
Gomphidae,Phanogomphus,Phanogomphus cavillaris,2022-03-09,2022-04-17,March,68,9,April,107,17
Gomphidae,Phanogomphus,Phanogomphus diminutus,2022-04-13,2022-05-12,April,103,13,May,132,12
Gomphidae,Phanogomphus,Phanogomphus exilis,2022-03-06,2022-07-04,March,65,6,July,185,4
Gomphidae,Phanogomphus,Phanogomphus lividus,2022-03-03,2022-06-22,March,62,3,June,173,22
Gomphidae,Phanogomphus,Phanogomphus minutus,2022-03-18,2022-06-18,March,77,18,June,169,18
Gomphidae,Phanogomphus,Phanogomphus quadricolor,2022-06-09,2022-06-09,June,160,9,June,160,9
Libellulidae,Plathemis,Plathemis lydia,2022-02-26,2022-11-06,February,57,26,November,310,6
Gomphidae,Progomphus,Progomphus alachuensis,2022-04-27,2022-10-11,April,117,27,October,284,11
Gomphidae,Progomphus,Progomphus obscurus,2022-04-01,2022-09-11,April,91,1,September,254,11
Corduliidae,Somatochlora,Somatochlora filosa,2022-05-29,2022-11-05,May,149,29,November,309,5
Corduliidae,Somatochlora,Somatochlora linearis,2022-06-11,2022-09-25,June,162,11,September,268,25
Corduliidae,Somatochlora,Somatochlora tenebrosa,2022-05-27,2022-09-27,May,147,27,September,270,27
Gomphidae,Stenogomphurus,Stenogomphurus consanguis,2022-05-08,2022-09-15,May,128,8,September,258,15
Gomphidae,Stenogomphurus,Stenogomphurus rogersi,2022-05-08,2022-06-27,May,128,8,June,178,27
Gomphidae,Stylogomphus,Stylogomphus albistylus,2022-05-03,2022-08-10,May,123,3,August,222,10
Gomphidae,Stylurus,Stylurus ivae,2022-08-23,2022-09-06,August,235,23,September,249,6
Gomphidae,Stylurus,Stylurus laurae,2022-06-07,2022-10-05,June,158,7,October,278,5
Gomphidae,Stylurus,Stylurus plagiatus,2022-06-04,2022-11-05,June,155,4,November,309,5
Gomphidae,Stylurus,Stylurus scudderi,2022-07-28,2022-10-05,July,209,28,October,278,5
Gomphidae,Stylurus,Stylurus spiniceps,2022-08-09,2022-09-01,August,221,9,September,244,1
Libellulidae,Sympetrum,Sympetrum ambiguum,2022-04-01,2022-11-25,April,91,1,November,329,25
Libellulidae,Sympetrum,Sympetrum corruptum,2022-03-26,2022-12-16,March,85,26,December,350,16
Libellulidae,Sympetrum,Sympetrum rubicundulum,2022-06-22,2022-09-25,June,173,22,September,268,25
Libellulidae,Sympetrum,Sympetrum semicinctum,2022-05-08,2022-07-28,May,128,8,July,209,28
Libellulidae,Sympetrum,Sympetrum vicinum,2022-05-16,2022-12-17,May,136,16,December,351,17
Petaluridae,Tachopteryx,Tachopteryx thoreyi,2022-02-27,2022-09-07,February,58,27,September,250,7
Coenagrionidae,Telebasis,Telebasis byersi,2022-02-18,2022-09-25,February,49,18,September,268,25
Libellulidae,Tramea,Tramea carolina,2022-02-21,2022-12-22,February,52,21,December,356,22
Libellulidae,Tramea,Tramea lacerata,2022-03-20,2022-11-15,March,79,20,November,319,15
Libellulidae,Tramea,Tramea onusta,2022-06-20,2022-09-16,June,171,20,September,259,16
Aeshnidae,Triacanthagyna,Triacanthagyna trifida,2022-08-29,2022-12-15,August,241,29,December,349,15
NA,NA,Epitheca sepia,2022-05-10,2022-07-08,May,130,10,July,189,8
NA,NA,Ophiogomphus mainensis,2022-04-23,2022-06-15,April,113,23,June,166,15
