Species,Region,Early,Late
Calopteryx amata (Superb Jewelwing),Statewide,20-May,15-Jun
,Blue Ridge,20-May,15-Jun
,,,
Calopteryx angustipennis (Appalachian Jewelwing),Statewide,17-Apr,30-Jun
,Blue Ridge,19-Apr,25-Jun
,Ridge+Valley/CumP,17-Apr,27-Jun
,Piedmont,,
,,,
Calopteryx dimidiata (Sparkling Jewelwing),Statewide,13-Apr,15-Oct
,Blue Ridge,9-Jun,2-Sep
,Ridge+Valley/CumP,27-May,23-Jun
,Piedmont,13-Jun,31-Jul
,Coastal Plain,13-Apr,28-Sep
,,,
Calopteryx maculata (Ebony Jewelwing)  ,Statewide,25-Mar,22-Oct
,Blue Ridge,13-May,24-Sep
,Ridge+Valley/CumP,29-Apr,27-Sep
,Piedmont,21-Apr,29-Sep
,Coastal Plain,25-Mar,12-Oct
,,,
Hetaerina americana (American Rubyspot)  ,Statewide,13-Apr,11-Nov
,Blue Ridge,10-May,2-Oct
,Ridge+Valley/CumP,3-May,24-Oct
,Piedmont,13-Apr,11-Nov
,Coastal Plain,21-Apr,30-Jun
,,,
Hetaerina titia (Smoky Rubyspot) ,Statewide,10-May,16-Nov
,Blue Ridge,,
,Ridge+Valley/CumP,21-Aug,5-Oct
,Piedmont,26-Jun,2-Oct
,Coastal Plain,10-May,4-Nov
,,,
Archilestes grandis (Great Spreadwing)  ,Statewide,30-Aug,25-Sep
,Blue Ridge,15-Jul,25-Sep
,Ridge+Valley/CumP,,
,Piedmont,,
,,,
Lestes australis (Southern Spreadwing) ,Statewide,24-Feb,20-Nov
,Blue Ridge,,
,Ridge+Valley/CumP,26-Mar,21-Oct
,Piedmont,24-Feb,30-Oct
,Coastal Plain,29-Mar,20-Nov
,,,
Lestes congener (Spotted Spreadwing)  ,Statewide,7-Sep,14-Oct
,Ridge+Valley/CumP,7-Sep,14-Oct
,,,
Lestes eurinus (Amber-winged Spreadwing)  ,Statewide,23-May,23-May
,Ridge+Valley/CumP,23-May,23-May
,,,
Lestes forcipatus (Sweetflag Spreadwing)  ,Statewide,29-Apr,7-Sep
,Ridge+Valley/CumP,29-Apr,7-Sep
,Piedmont,,
,,,
Lestes inaequalis (Elegant Spreadwing)  ,Statewide,11-Apr,2-Sep
,Blue Ridge,,
,Ridge+Valley/CumP,19-May,1-Jul
,Piedmont,31-Jul,31-Jul
,Coastal Plain,27-Apr,2-Sep
,,,
Lestes rectangularis (Slender Spreadwing)  ,Statewide,20-Apr,16-Oct
,Blue Ridge,25-May,11-Oct
,Ridge+Valley/CumP,12-Apr,16-Oct
,Piedmont,6-May,16-Aug
,Coastal Plain,26-May,2-Sep
,,,
Lestes vidua (Carolina Spreadwing) ,Statewide,1-Feb,20-Nov
,Piedmont,8-Mar,
,Coastal Plain,1-Feb,20-Nov
,,,
Lestes vigilax (Swamp Spreadwing)  ,Statewide,4-Apr,17-Nov
,Blue Ridge,21-Jun,29-Sep
,Ridge+Valley/CumP,4-May,24-Oct
,Piedmont,8-Apr,11-Nov
,Coastal Plain,4-Apr,17-Nov
,,,
Amphiagrion saucium (Eastern Red Damsel),Statewide,13-Apr,27-Jun
,Blue Ridge,27-Apr,27-Jun
,Ridge+Valley/CumP,20-Apr,23-Jun
,Piedmont,2-May,2-May
,Coastal Plain,13-Apr,13-Apr
,,,
Argia apicalis (Blue-fronted Dancer)  ,Statewide,4-Apr,1-Nov
,Blue Ridge,13-Jun,31-Aug
,Ridge+Valley/CumP,22-Apr,2-Oct
,Piedmont,27-Apr,1-Nov
,Coastal Plain,4-Apr,8-Oct
,,,
Argia bipunctulata (Seepage Dancer)  ,Statewide,27-Apr,8-Oct
,Blue Ridge,27-Apr,14-Sep
,Ridge+Valley/CumP,,
,Piedmont,13-Jun,13-Aug
,Coastal Plain,17-May,8-Oct
,,,
Argia fumipennis (Variable Dancer)  ,Statewide,19-Mar,4-Nov
,Blue Ridge,11-May,12-Oct
,Ridge+Valley/CumP,19-Apr,27-Oct
,Piedmont,6-May,29-Sep
,Coastal Plain,19-Mar,4-Nov
,,,
Argia moesta (Powdered Dancer)  ,Statewide,1-Apr,9-Nov
,Blue Ridge,7-May,25-Sep
,Ridge+Valley/CumP,17-Apr,24-Sep
,Piedmont,19-Apr,2-Oct
,Coastal Plain,1-Apr,9-Nov
,,,
Argia sedula (Blue-ringed Dancer)  ,Statewide,13-Apr,20-Nov
,Blue Ridge,7-May,18-Jul
,Ridge+Valley/CumP,25-Apr,26-Oct
,Piedmont,13-Apr,1-Nov
,Coastal Plain,18-Apr,20-Nov
,,,
Argia tibialis (Blue-tipped Dancer)  ,Statewide,26-Mar,14-Oct
,Blue Ridge,25-May,23-Jul
,Ridge+Valley/CumP,21-Apr,30-Sep
,Piedmont,20-Apr,26-Sep
,Coastal Plain,26-Mar,14-Oct
,,,
Argia translata (Dusky Dancer)  ,Statewide,3-Jun,10-Nov
,Blue Ridge,24-Jun,14-Sep
,Ridge+Valley/CumP,3-Jun,2-Oct
,Piedmont,23-Jun,6-Nov
,Coastal Plain,13-Jun,17-Sep
,,,
Chromagrion conditum (Aurora Damsel) ,Statewide,28-Apr,30-Jun
,Blue Ridge,8-May,30-Jun
,Ridge+Valley/CumP,22-Apr,24-May
,Piedmont,2-May,
,,,
Enallagma aspersum (Azure Bluet)  ,Statewide,9-Apr,20-Oct
,Blue Ridge,19-Apr,21-Aug
,Ridge+Valley/CumP,15-Apr,20-Oct
,Piedmont,9-Apr,13-Jun
,,,
Enallagma basidens (Double-striped Bluet)  ,Statewide,8-Apr,23-Oct
,Blue Ridge,9-Jun,29-Sep
,Ridge+Valley/CumP,8-Apr,19-Oct
,Piedmont,11-Apr,26-Sep
,Coastal Plain,2-May,23-Oct
,,,
Enallagma cardenium (Purple Bluet)  ,Statewide,25-Mar,20-Nov
,Coastal Plain,25-Mar,20-Nov
,,,
Enallagma civile (Familiar Bluet)  ,Statewide,9-Mar,7-Dec
,Blue Ridge,7-May,2-Oct
,Ridge+Valley/CumP,9-Apr,29-Nov
,Piedmont,4-Apr,26-Nov
,Coastal Plain,27-Mar,29-Oct
,,,
Enallagma concisum (Cherry Bluet)  ,Statewide,13-Mar,6-Nov
,Piedmont,,
,Coastal Plain,13-Mar,6-Nov
,,,
Enallagma daeckii (Attenuated Bluet)  ,Statewide,19-Apr,26-Jun
,Blue Ridge,29-May,26-Jun
,Ridge+Valley/CumP,,
,Piedmont,,
,Coastal Plain,19-Apr,16-Jun
,,,
Enallagma davisi (Sandhill Bluet) ,Statewide,14-Mar,12-May
,Piedmont,,
,,9-Apr,9-Apr
,Coastal Plain,14-Mar,12-May
,,,
Enallagma divagans (Turquoise Bluet)  ,Statewide,18-Mar,18-Sep
,Blue Ridge,7-May,18-Sep
,Ridge+Valley/CumP,19-Apr,23-Jun
,Piedmont,8-May,10-Jul
,Coastal Plain,18-Mar,15-May
,,,
Enallagma doubledayi (Atlantic Bluet)  ,Statewide,6-Mar,25-Nov
,Blue Ridge,,
,Ridge+Valley/CumP,22-Apr,27-Aug
,Piedmont,,
,Coastal Plain,6-Mar,25-Nov
,,,
Enallagma dubium (Burgundy Bluet)  ,Statewide,13-Mar,28-Sep
,Ridge+Valley/CumP,23-May,23-May
,Piedmont,,
,Coastal Plain,13-Mar,28-Sep
,,,
Enallagma durum (Big Bluet),Statewide,21-Jul,21-Nov
,Piedmont,21-Oct,20-Nov
,Ridge+Valley/CumP,21-Jul,21-Nov
,,,
Enallagma exsulans (Stream Bluet)  ,Statewide,9-Apr,20-Sep
,Blue Ridge,1-Jun,14-Jun
,Ridge+Valley/CumP,22-Apr,20-Sep
,Piedmont,9-Apr,11-Sep
,Coastal Plain,21-Apr,
,,,
Enallagma geminatum (Skimming Bluet)  ,Statewide,17-Mar,25-Nov
,Blue Ridge,19-Apr,23-Oct
,Ridge+Valley/CumP,11-Apr,4-Nov
,Piedmont,16-Apr,24-Aug
,Coastal Plain,17-Mar,25-Nov
,,,
Enallagma pallidum (Pale Bluet)  ,Statewide,18-Apr,30-Aug
,Coastal Plain,18-Apr,30-Aug
,,,
Enallagma signatum (Orange Bluet) ,Statewide,13-Mar,25-Nov
,Blue Ridge,23-Apr,29-Sep
,Ridge+Valley/CumP,8-Apr,4-Nov
,Piedmont,10-Apr,1-Nov
,Coastal Plain,13-Mar,25-Nov
,,,
Enallagma traviatum (Slender Bluet)  ,Statewide,1-May,24-Jul
,Blue Ridge,7-Jun,24-Jul
,Ridge+Valley/CumP,7-May,15-Jul
,Piedmont,6-May,5-Jul
,Coastal Plain,12-May,12-May
,,,
Enallagma vesperum (Vesper Bluet) ,Statewide,29-Mar,9-Nov
,Blue Ridge,,
,Ridge+Valley/CumP,25-May,25-May
,Piedmont,,
,Coastal Plain,29-Mar,9-Nov
,,,
Enallagma weewa (Blackwater Bluet)  ,Statewide,12-May,4-Nov
,Piedmont,28-Jul,23-Sep
,Coastal Plain,12-May,4-Nov
,,,
Ischnura hastata (Citrine Forktail)  ,Statewide,9-Feb,31-Dec
,Blue Ridge,17-Apr,27-Sep
,Ridge+Valley/CumP,23-Feb,25-Nov
,Piedmont,12-Mar,16-Dec
,Coastal Plain,9-Feb,20-Nov
,,,
Ischnura kellicotti (Lilypad Forktail)  ,Statewide,2-Mar,4-Nov
,Ridge+Valley/CumP,3-May,17-May
,Piedmont,17-Jul,8-Aug
,Coastal Plain,2-Mar,4-Nov
,,,
Ischnura posita (Fragile Forktail)  ,Statewide,22-Jan,31-Dec
,Blue Ridge,8-Apr,11-Oct
,Ridge+Valley/CumP,23-Feb,15-Nov
,Piedmont,22-Mar,4-Nov
,Coastal Plain,22-Jan,20-Nov
,,,
Ischnura prognata (Furtive Forktail) ,Statewide,3-Mar,5-Jul
,Ridge+Valley/CumP,6-May,16-May
,Piedmont,,
,Coastal Plain,4-Apr,5-Jul
,,,
Ischnura ramburii (Ramburs Forktail)  ,Statewide,6-Feb,22-Dec
,Blue Ridge,8-Apr,6-Jun
,Ridge+Valley/CumP,5-May,11-Nov
,Piedmont,8-May,6-Nov
,Coastal Plain,6-Mar,22-Dec
,,,
Ischnura verticalis (Eastern Forktail)  ,Statewide,17-Apr,11-Oct
,Blue Ridge,17-Apr,Jan-00
,Ridge+Valley/CumP,12-May,29-Aug
,Piedmont,,
,,,
Nehalennia gracilis (Sphagnum Sprite)  ,Statewide,8-May,21-Jul
,Blue Ridge,29-May,21-Jul
,Coastal Plain,8-May,8-May
,,,
Nehalennia integricollis (Southern Sprite)  ,Statewide,5-Apr,28-Sep
,Blue Ridge,24-Jun,4-Jul
,Ridge+Valley/CumP,16-May,23-Jun
,Piedmont,,
,Coastal Plain,5-Apr,28-Sep
,,,
Telebasis byersi (Duckweed Firetail)  ,Statewide,18-May,9-Sep
,Ridge+Valley/CumP,29-Jun,29-Jun
,Coastal Plain,18-May,9-Sep
,,,
DRAGONFLIES - ANISOPTERA,,,
,,,
Tachopteryx thoreyi (Gray Petaltail) ,Statewide,5-Apr,18-Jul
,Blue Ridge,6-May,18-Jul
,Ridge+Valley/CumP,2-May,9-Jul
,Piedmont,9-May,20-Jun
,Coastal Plain,5-Apr,5-Jul
,,,
Aeshna umbrosa (Shadow Darner)  ,Statewide,3-Aug,27-Dec
,Blue Ridge,3-Aug,20-Oct
,Ridge+Valley/CumP,21-Aug,29-Aug
,Piedmont,12-Aug,27-Dec
,,,
Anax junius (Common Green Darner)  ,Statewide,28-Jan,31-Dec
,Blue Ridge,17-Apr,26-Oct
,Ridge+Valley/CumP,21-Feb,3-Nov
,Piedmont,12-Mar,6-Dec
,Coastal Plain,6-Mar,31-Dec
,,,
Anax longipes (Comet Darner),Statewide,21-Mar,15-Oct
,Blue Ridge,28-May,31-Aug
,Ridge+Valley/CumP,22-Apr,2-Sep
,Piedmont,28-Apr,30-Aug
,Coastal Plain,21-Mar,22-Oct
,,,
Basiaeschna janata (Springtime Darner)  ,Statewide,20-Mar,25-May
,Blue Ridge,16-Apr,23-May
,Ridge+Valley/CumP,21-Mar,11-May
,Piedmont,20-Mar,16-Apr
,Coastal Plain,28-Mar,20-Apr
,,,
Boyeria grafiana (Ocellated Darner) ,Statewide,27-May,25-Sep
,Blue Ridge,27-May,25-Sep
,Ridge+Valley/CumP,,
,,,
Boyeria vinosa (Fawn Darner)  ,Statewide,3-Jun,23-Nov
,Blue Ridge,19-Jun,1-Oct
,Ridge+Valley/CumP,3-Jul,16-Nov
,Piedmont,12-Aug,23-Nov
,Coastal Plain,3-Jun,3-Jul
,,,
Coryphaeschna ingens (Regal Darner)  ,Statewide,6-Apr,23-Sep
,Ridge+Valley/CumP,,
,Piedmont,,
,Coastal Plain,28-Apr,23-Sep
,,,
Epiaeschna heros (Swamp Darner)  ,Statewide,2-Mar,2-Nov
,Blue Ridge,8-May,26-Jul
,Ridge+Valley/CumP,4-Apr,22-Oct
,Piedmont,10-Mar,31-Jul
,Coastal Plain,2-Mar,13-Oct
,,,
Gomphaeschna antilope (Taper-tailed Darner)  ,Statewide,21-Mar,16-Jun
,Piedmont,27-Apr,27-Apr
,Coastal Plain,21-Mar,21-Mar
,,,
Gomphaeschna furcillata (Harlequin Darner)  ,Statewide,12-Mar,18-May
,Blue Ridge,,
,Ridge+Valley/CumP,9-Apr,18-May
,Piedmont,,
,Coastal Plain,17-Mar,13-Apr
,,15-Mar,15-Mar
,,,
Gynacantha nervosa (Twilight Darner)  ,Statewide,19-Sep,26-Dec
,Coastal Plain,19-Sep,26-Dec
,,,
Nasiaeschna pentacantha (Cyrano Darner)  ,Statewide,30-Mar,14-Aug
,Blue Ridge,,
,Ridge+Valley/CumP,27-Jul,31-Jul
,Piedmont,21-May,21-May
,Coastal Plain,30-Mar,14-Aug
,,,
Triacanthagyna trifida (Phantom Darner) ,Statewide,2-Sep,15-Dec
,Coastal Plain,2-Sep,15-Dec
,,,
Aphylla williamsoni (Two-striped Forceptail)  ,Statewide,20-Jun,8-Oct
,Ridge+Valley/CumP,3-Jul,3-Sep
,Piedmont,18-Jul,20-Sep
,Coastal Plain,20-Jun,17-Sep
,,,
Arigomphus pallidus (Gray-green Clubtail) ,Statewide,1-Apr,24-Jul
,Coastal Plain,1-Apr,24-Jul
,,,
Arigomphus villosipes (Unicorn Clubtail)  ,Statewide,23-May,4-Jul
,Blue Ridge,,
,Ridge+Valley/CumP,23-May,4-Jul
,,,
Dromogomphus armatus (Southeastern Spinylegs)  ,Statewide,25-Jun,19-Aug
,Piedmont,,
,Coastal Plain,25-Jun,16-Aug
,,,
Dromogomphus spinosus (Black-shouldered Spinyleg)  ,Statewide,8-May,30-Sep
,Blue Ridge,13-Jun,31-Aug
,Ridge+Valley/CumP,23-May,30-Sep
,Piedmont,8-May,24-Sep
,Coastal Plain,27-May,19-Sep
,,,
Dromogomphus spoliatus (Flag-tailed Spinyleg)  ,Statewide,24-May,1-Oct
,Ridge+Valley/CumP,24-May,1-Oct
,,,
Erpetogomphus designatus (Eastern Ringtail)  ,Statewide,17-May,27-Oct
,Ridge+Valley/CumP,,
,Piedmont,17-May,11-Sep
,Coastal Plain,13-Jun,27-Oct
,,,
Gomphurus dilatatus (Blackwater Clubtail),Statewide,23-Mar,4-Aug
 ,Blue Ridge,4-Jul,9-Jul
,Ridge+Valley/CumP,20-May,20-Jul
,Piedmont,16-May,10-Jul
,Coastal Plain,23-Mar,12-Jul
,,,
Gomphurus hybridus (Cocoa Clubtail)  ,Statewide,22-Mar,21-May
,Blue Ridge,,
,Ridge+Valley/CumP,15-Apr,21-May
,Piedmont,11-Apr,12-May
,Coastal Plain,22-Mar,15-May
,,,
Gomphurus lineatifrons (Splendid Clubtail)  ,Statewide,14-May,1-Jul
,Blue Ridge,21-May,21-May
,Ridge+Valley/CumP,14-May,1-Jul
,Piedmont,22-Jun,22-Jun
,,,
Gomphurus vastus (Cobra Clubtail)  ,Statewide,11-Apr,30-Jun
,Blue Ridge,,
,Ridge+Valley/CumP,,
,Piedmont,13-Apr,13-Jun
,Coastal Plain,13-May,30-Jun
,,,
Hagenius brevistylus (Dragonhunter)  ,Statewide,8-May,28-Sep
,Blue Ridge,29-May,31-Aug
,Ridge+Valley/CumP,27-May,17-Sep
,Piedmont,8-May,14-Sep
,Coastal Plain,13-Jun,27-Aug
,,,
Hylogomphus adelphus (Mustached Clubtail)  ,Statewide,9-Jun,9-Jun
,Blue Ridge,9-Jun,9-Jun
,,,
Hylogomphus apomyius (Banner Clubtail)  ,Statewide,29-Mar,16-May
,Ridge+Valley/CumP,,
,Piedmont,16-Apr,29-Apr
,Coastal Plain,12-May,12-May
,,,
Hylogomphus geminatus (Twin-striped Clubtail)  ,Statewide,26-May,26-May
,Coastal Plain,26-May,26-May
,,,
Hylogomphus parvidens (Piedmont Clubtail)  ,Statewide,21-Apr,29-Jun
,Blue Ridge,6-May,28-Jun
,Ridge+Valley/CumP,,
,Piedmont,12-May,12-May
,Coastal Plain,21-Apr,21-Apr
,,,
Hylogomphus viridifrons (Green-faced Clubtail),Statewide,10-May,15-Jun
,Blue Ridge,10-May,15-Jun
,,,
Lanthus vernalis (Southern Pygmy Clubtail)  ,Statewide,23-Apr,31-May
,Blue Ridge,23-Apr,31-May
,,,
